averagerank.wholebrain,finalrank.wholebrain,averagerank.hemisphere,finalrank.hemisphere,label,language_hemisphere,language_hemisphere_bin
149.1,106.0,73.6,50.0,lh_17Networks_LH_DorsAttnA_SPL_6,0.0,0
161.5,129.5,80.9,64.0,lh_17Networks_LH_DorsAttnA_SPL_7,0.0,0
216.8,218.0,110.6,110.0,lh_17Networks_LH_DorsAttnB_PostC_1,0.0,0
163.9,131.0,81.6,67.0,lh_17Networks_LH_DorsAttnB_PostC_2,0.0,0
224.7,235.5,112.5,114.5,lh_17Networks_LH_DorsAttnB_PostC_3,0.0,0
149.8,108.0,74.8,54.0,lh_17Networks_LH_DorsAttnB_PostC_4,0.0,0
159.3,124.0,80.7,63.0,lh_17Networks_LH_DorsAttnB_PostC_5,0.0,0
133.0,86.0,66.8,42.0,lh_17Networks_LH_DorsAttnB_PostC_6,0.0,0
166.5,137.0,83.6,70.0,lh_17Networks_LH_DorsAttnB_PostC_7,0.0,0
152.9,111.0,77.9,58.0,lh_17Networks_LH_DorsAttnB_PostC_8,0.0,0
148.2,104.5,74.4,51.5,lh_17Networks_LH_DorsAttnB_PostC_9,0.0,0
184.0,167.0,92.1,86.0,lh_17Networks_LH_DorsAttnB_FEF_1,86.0,4
224.5,234.0,112.5,114.5,lh_17Networks_LH_DorsAttnB_FEF_2,0.0,0
200.9,192.0,100.9,98.0,lh_17Networks_LH_DorsAttnB_FEF_3,98.0,4
232.2,247.0,116.1,120.0,lh_17Networks_LH_DorsAttnB_PrCv_1,120.0,4
198.1,185.0,100.3,96.0,lh_17Networks_LH_SalVentAttnA_ParOper_1,96.0,6
238.1,261.0,118.1,127.5,lh_17Networks_LH_SalVentAttnA_ParOper_2,127.5,6
264.5,309.0,133.1,155.0,lh_17Networks_LH_SalVentAttnA_ParOper_3,155.0,6
219.6,225.0,110.2,107.0,lh_17Networks_LH_SalVentAttnA_Ins_1,0.0,0
258.5,298.0,130.6,151.0,lh_17Networks_LH_SalVentAttnA_Ins_2,151.0,5
228.1,241.5,113.2,116.0,lh_17Networks_LH_SalVentAttnA_Ins_3,0.0,0
222.2,230.0,111.3,112.0,lh_17Networks_LH_SalVentAttnA_Ins_4,0.0,0
180.8,160.0,90.1,83.0,lh_17Networks_LH_SalVentAttnA_FrOper_1,0.0,0
239.6,264.0,119.5,132.5,lh_17Networks_LH_SalVentAttnA_FrOper_2,132.5,3
173.1,147.0,86.7,75.0,lh_17Networks_LH_SalVentAttnA_ParMed_1,0.0,0
180.0,158.0,90.0,82.0,lh_17Networks_LH_SalVentAttnA_ParMed_2,0.0,0
159.0,123.0,79.3,60.0,lh_17Networks_LH_SalVentAttnA_ParMed_3,0.0,0
212.1,207.0,106.9,103.0,lh_17Networks_LH_SalVentAttnA_FrMed_1,0.0,0
234.5,252.0,116.2,121.0,lh_17Networks_LH_SalVentAttnA_FrMed_2,0.0,0
170.8,144.0,85.1,74.0,lh_17Networks_LH_SalVentAttnA_FrMed_3,0.0,0
291.1,356.0,145.1,179.5,lh_17Networks_LH_SalVentAttnB_PFCl_1,0.0,0
282.6,341.5,141.8,170.0,lh_17Networks_LH_SalVentAttnB_PFCl_2,0.0,0
301.4,381.0,150.9,188.0,lh_17Networks_LH_SalVentAttnB_PFCl_3,0.0,0
