averagerank.wholebrain,finalrank.wholebrain,averagerank.hemisphere,finalrank.hemisphere,label,language_hemisphere,language_hemisphere_bin
110.5,62.0,54.3,30.0,rh_17Networks_RH_SalVentAttnA_ParMed_4,0.0,0
168.5,140.0,85.0,69.0,rh_17Networks_RH_SalVentAttnA_FrMed_3,0.0,0
221.6,228.0,111.7,116.0,rh_17Networks_RH_SalVentAttnA_FrMed_4,0.0,0
264.8,310.0,132.9,156.5,rh_17Networks_RH_SalVentAttnB_IPL_1,0.0,0
252.5,289.0,127.8,146.0,rh_17Networks_RH_SalVentAttnB_PFClv_1,146.0,3
283.9,343.0,141.8,172.0,rh_17Networks_RH_SalVentAttnB_PFCl_1,0.0,0
296.3,367.0,148.7,183.0,rh_17Networks_RH_SalVentAttnB_PFCl_2,0.0,0
272.2,318.0,136.7,160.0,rh_17Networks_RH_SalVentAttnB_PFCl_3,0.0,0
273.2,323.0,137.4,164.0,rh_17Networks_RH_SalVentAttnB_Ins_1,164.0,2
243.9,279.0,123.1,139.0,rh_17Networks_RH_SalVentAttnB_Ins_2,139.0,2
287.1,352.5,144.0,176.0,rh_17Networks_RH_SalVentAttnB_PFCmp_1,0.0,0
248.9,285.0,125.1,142.0,rh_17Networks_RH_SalVentAttnB_PFCmp_2,0.0,0
248.5,283.0,123.8,141.0,rh_17Networks_RH_LimbicB_OFC_1,0.0,0
270.5,315.0,136.8,161.0,rh_17Networks_RH_LimbicB_OFC_2,0.0,0
260.5,302.5,130.6,153.0,rh_17Networks_RH_LimbicB_OFC_3,0.0,0
277.4,328.0,139.3,166.0,rh_17Networks_RH_LimbicB_OFC_4,0.0,0
215.1,212.0,107.9,110.0,rh_17Networks_RH_LimbicB_OFC_5,0.0,0
289.3,354.0,146.4,178.0,rh_17Networks_RH_LimbicB_OFC_6,0.0,0
231.9,246.0,116.5,127.0,rh_17Networks_RH_LimbicA_TempPole_1,0.0,0
262.1,305.0,132.0,155.0,rh_17Networks_RH_LimbicA_TempPole_2,0.0,0
255.0,292.5,129.2,149.0,rh_17Networks_RH_LimbicA_TempPole_3,149.0,5
248.2,282.0,126.3,145.0,rh_17Networks_RH_LimbicA_TempPole_4,0.0,0
236.6,255.0,119.5,131.5,rh_17Networks_RH_LimbicA_TempPole_5,0.0,0
242.0,272.0,122.0,137.0,rh_17Networks_RH_LimbicA_TempPole_6,0.0,0
205.3,199.0,103.2,100.0,rh_17Networks_RH_ContA_IPS_1,100.0,7
235.8,254.0,117.7,128.0,rh_17Networks_RH_ContA_IPS_2,0.0,0
210.0,203.0,105.2,104.0,rh_17Networks_RH_ContA_IPS_3,0.0,0
200.6,191.0,100.6,95.0,rh_17Networks_RH_ContA_IPS_4,0.0,0
246.8,281.0,123.3,140.0,rh_17Networks_RH_ContA_PFCd_1,0.0,0
253.5,290.0,128.3,147.0,rh_17Networks_RH_ContA_PFCl_1,147.0,3
224.7,235.5,112.9,120.0,rh_17Networks_RH_ContA_PFCl_2,120.0,3
281.6,338.0,141.3,170.0,rh_17Networks_RH_ContA_PFCl_3,170.0,3
238.9,263.0,119.8,133.0,rh_17Networks_RH_ContA_PFCl_4,133.0,3
265.3,311.0,132.9,156.5,rh_17Networks_RH_ContA_PFCl_5,156.5,3
154.3,115.0,78.2,59.0,rh_17Networks_RH_ContA_Cingm_1,0.0,0
332.9,399.0,168.0,200.0,rh_17Networks_RH_ContB_Temp_1,200.0,5
329.7,398.0,166.4,199.0,rh_17Networks_RH_ContB_Temp_2,199.0,6
298.9,376.0,151.1,193.0,rh_17Networks_RH_ContB_IPL_1,193.0,6
284.5,344.0,142.7,175.0,rh_17Networks_RH_ContB_IPL_2,0.0,0
263.5,307.0,131.9,154.0,rh_17Networks_RH_ContB_IPL_3,0.0,0
237.9,258.5,119.3,130.0,rh_17Networks_RH_ContB_IPL_4,0.0,0
292.2,361.0,146.8,180.0,rh_17Networks_RH_ContB_PFCld_1,0.0,0
296.4,368.0,149.1,187.0,rh_17Networks_RH_ContB_PFCld_2,0.0,0
250.9,288.0,126.1,144.0,rh_17Networks_RH_ContB_PFCld_3,144.0,4
292.1,360.0,146.7,179.0,rh_17Networks_RH_ContB_PFCld_4,179.0,4
277.6,329.0,140.9,168.5,rh_17Networks_RH_ContB_PFClv_1,168.5,2
274.0,324.0,137.2,163.0,rh_17Networks_RH_ContB_PFClv_2,0.0,0
296.5,369.5,148.9,185.0,rh_17Networks_RH_ContB_PFClv_3,0.0,0
280.8,335.0,142.0,173.0,rh_17Networks_RH_ContB_PFClv_4,0.0,0
281.5,336.5,141.4,171.0,rh_17Networks_RH_ContB_PFCmp_1,0.0,0
185.6,171.0,93.1,84.0,rh_17Networks_RH_ContC_pCun_1,0.0,0
183.9,166.0,92.1,82.0,rh_17Networks_RH_ContC_pCun_2,0.0,0
217.1,220.0,109.3,113.0,rh_17Networks_RH_ContC_pCun_3,0.0,0
204.9,197.0,102.7,99.0,rh_17Networks_RH_ContC_pCun_4,0.0,0
186.7,173.0,94.7,86.0,rh_17Networks_RH_ContC_pCun_5,0.0,0
174.4,150.0,89.55,76.0,rh_17Networks_RH_ContC_Cingp_1,0.0,0
138.7,89.0,70.55,44.0,rh_17Networks_RH_ContC_Cingp_2,0.0,0
320.6,396.0,161.4,198.0,rh_17Networks_RH_DefaultA_Temp_1,198.0,5
296.6,371.0,149.0,186.0,rh_17Networks_RH_DefaultA_IPL_1,186.0,6
268.6,314.0,135.4,158.0,rh_17Networks_RH_DefaultA_IPL_2,158.0,6
297.7,375.0,150.1,191.0,rh_17Networks_RH_DefaultA_PFCd_1,0.0,0
293.7,365.0,148.8,184.0,rh_17Networks_RH_DefaultA_PFCd_2,0.0,0
248.7,284.0,126.0,143.0,rh_17Networks_RH_DefaultA_pCunPCC_1,0.0,0
228.5,243.0,116.0,126.0,rh_17Networks_RH_DefaultA_pCunPCC_2,0.0,0
254.8,291.0,129.9,151.0,rh_17Networks_RH_DefaultA_pCunPCC_3,0.0,0
245.0,280.0,122.5,138.0,rh_17Networks_RH_DefaultA_pCunPCC_4,0.0,0
221.3,227.0,111.8,117.0,rh_17Networks_RH_DefaultA_pCunPCC_5,0.0,0
299.9,379.5,149.6,189.0,rh_17Networks_RH_DefaultA_PFCm_1,0.0,0
291.5,357.0,144.9,177.0,rh_17Networks_RH_DefaultA_PFCm_2,0.0,0
299.9,379.5,150.6,192.0,rh_17Networks_RH_DefaultA_PFCm_3,0.0,0
312.1,390.0,157.5,197.0,rh_17Networks_RH_DefaultA_PFCm_4,0.0,0
296.9,373.0,149.3,188.0,rh_17Networks_RH_DefaultA_PFCm_5,0.0,0
202.1,195.0,100.2,93.5,rh_17Networks_RH_DefaultA_PFCm_6,0.0,0
278.7,333.0,140.8,167.0,rh_17Networks_RH_DefaultB_Temp_1,167.0,5
271.2,316.0,136.0,159.0,rh_17Networks_RH_DefaultB_Temp_2,159.0,6
294.1,366.0,147.8,181.0,rh_17Networks_RH_DefaultB_AntTemp_1,181.0,5
307.9,387.0,154.7,196.0,rh_17Networks_RH_DefaultB_PFCd_1,0.0,0
304.2,382.0,153.3,194.0,rh_17Networks_RH_DefaultB_PFCd_2,0.0,0
297.1,374.0,149.7,190.0,rh_17Networks_RH_DefaultB_PFCd_3,0.0,0
308.3,388.5,154.2,195.0,rh_17Networks_RH_DefaultB_PFCd_4,0.0,0
272.8,320.0,137.1,162.0,rh_17Networks_RH_DefaultB_PFCd_5,0.0,0
281.5,336.5,142.1,174.0,rh_17Networks_RH_DefaultB_PFCv_1,174.0,2
292.0,358.5,148.1,182.0,rh_17Networks_RH_DefaultB_PFCv_2,182.0,2
274.5,326.0,138.2,165.0,rh_17Networks_RH_DefaultB_PFCv_3,165.0,2
215.4,213.0,109.4,114.0,rh_17Networks_RH_DefaultC_IPL_1,114.0,6
212.4,208.0,105.9,106.0,rh_17Networks_RH_DefaultC_IPL_2,106.0,7
153.6,113.0,78.5,60.0,rh_17Networks_RH_DefaultC_Rsp_1,0.0,0
222.1,229.0,112.3,118.5,rh_17Networks_RH_DefaultC_Rsp_2,0.0,0
198.4,186.0,100.1,92.0,rh_17Networks_RH_DefaultC_PHC_1,0.0,0
200.5,190.0,100.9,96.0,rh_17Networks_RH_DefaultC_PHC_2,0.0,0
257.7,297.0,129.4,150.0,rh_17Networks_RH_TempPar_1,150.0,5
280.7,334.0,140.9,168.5,rh_17Networks_RH_TempPar_2,168.5,5
215.7,215.0,108.1,111.0,rh_17Networks_RH_TempPar_3,111.0,5
216.3,217.0,108.3,112.0,rh_17Networks_RH_TempPar_4,112.0,5
203.4,196.0,102.6,98.0,rh_17Networks_RH_TempPar_5,98.0,6
223.0,231.0,112.3,118.5,rh_17Networks_RH_TempPar_6,118.5,6
210.6,204.0,104.7,102.0,rh_17Networks_RH_TempPar_7,102.0,6
198.8,187.0,100.2,93.5,rh_17Networks_RH_TempPar_8,93.5,6
255.8,294.0,128.9,148.0,rh_17Networks_RH_TempPar_9,148.0,6
227.2,238.0,114.6,123.5,rh_17Networks_RH_TempPar_10,123.5,6
